from,to
MCArnautu,JeanMarieCAVADA
MCArnautu,BalasGuillaume
MCArnautu,philippejuvin
MCArnautu,Ale_Mussolini_
MCArnautu,IsmailErtug
MCArnautu,MepMCramer
MCArnautu,laurrebega
MCArnautu,DMartinFN
MCArnautu,manfredweber
MCArnautu,vilimsky
MCArnautu,franzobermayr
MCArnautu,georgmayermep
MCArnautu,OlafStuger
MCArnautu,Janice4Brexit
MCArnautu,DominiqueBilde
MCArnautu,Sophie_Montel
MCArnautu,BriceHortefeux
MCArnautu,EvaJoly
MCArnautu,josebove
MCArnautu,Nigel_Farage
MCArnautu,RenaudMuselier
MCArnautu,ALamassoure
MCArnautu,MJRLdeGraaff
MCArnautu,JLSchaffhauser
MCArnautu,DavidCasaMEP
MCArnautu,JFJalkh
MCArnautu,SteeveBriois
MCArnautu,ph_loiseau
MCArnautu,gannemans
MCArnautu,mireilledornano
MCArnautu,Vincent_Peillon
MCArnautu,MAlliotMarie
MCArnautu,JoelleMelinFN
MCArnautu,geoffroydidier
MCArnautu,datirachida
MCArnautu,nadine__morano
MCArnautu,jfostermep
MCArnautu,MarianMarinescu
MCArnautu,Gilles_Lebreton
MCArnautu,KarimaDelli
MCArnautu,Sylvie_Goddyn
MCArnautu,NicolasBay_
MCArnautu,guyverhofstadt
MCArnautu,Bernard_Monot
MCArnautu,lepenjm
MCArnautu,jcolombierfn
MCArnautu,f_philippot
MCArnautu,francejamet
MCArnautu,troszczynski_fn
MCArnautu,brunogollnisch
IvoBelet,iuliuwinkler
IvoBelet,Franc_Bogovic
IvoBelet,DJazlowiecka
IvoBelet,LindaMcAvanMEP
IvoBelet,PaulBrannenNE
IvoBelet,julie4nw
IvoBelet,ceciliawikstrom
IvoBelet,dubravkasuica
IvoBelet,burkhardbalz
IvoBelet,EGardini
IvoBelet,marijana_petir
IvoBelet,a_jongerius
IvoBelet,lievewierinck
IvoBelet,L_Cesa
IvoBelet,MichalBoni
IvoBelet,EduardKukan
IvoBelet,adinavalean
IvoBelet,ayuso_pilar
IvoBelet,delcastillop
IvoBelet,emorinchartier
IvoBelet,markuspieperMEP
IvoBelet,peter_jahr
IvoBelet,MHohlmeier
IvoBelet,schulzeeuropa
IvoBelet,hildevautmans
IvoBelet,KatiPiri
IvoBelet,fgambus_eu
IvoBelet,JerzyBuzek
IvoBelet,MepMCramer
IvoBelet,HansOlafHenkel
IvoBelet,giovannilavia
IvoBelet,IsmailErtug
IvoBelet,KarimaDelli
IvoBelet,LucyAndersonMEP
IvoBelet,Miriamdalli
IvoBelet,josefariamep
IvoBelet,gannemans
IvoBelet,SantiagoFisas
IvoBelet,DeirdreCluneMEP
IvoBelet,brianhayesMEP
IvoBelet,gerardeprez
IvoBelet,EleonoraEvi
IvoBelet,Gerbrandy
IvoBelet,AnnaMariaCB
IvoBelet,Fjellner
IvoBelet,JytteGuteland
IvoBelet,vozemberg
IvoBelet,pascal_arimont
IvoBelet,SebDance
IvoBelet,Delahaye_Europe
IvoBelet,Jude_KD
IvoBelet,BendtEU
IvoBelet,judithineuropa
IvoBelet,EvaMaydell
IvoBelet,anneleen_vb
IvoBelet,cmonteiroaguiar
IvoBelet,federley
IvoBelet,milanzver
IvoBelet,Frederiqueries
IvoBelet,marctarabella
IvoBelet,lojzepeterle
IvoBelet,tfajon
IvoBelet,Mariearenaps
IvoBelet,ph_lamberts
IvoBelet,clauderolin
IvoBelet,SanderLoones
IvoBelet,juliegirling
IvoBelet,jfostermep
IvoBelet,TheresaMEP
IvoBelet,gonzalezpons
IvoBelet,Antonio_Tajani
IvoBelet,krisjaniskarins
IvoBelet,Kalniete
IvoBelet,SeanKellyMEP
IvoBelet,helgatruepel
IvoBelet,blochbihler
IvoBelet,inge_graessle
IvoBelet,jhuitema
IvoBelet,peterliese
IvoBelet,caspary
IvoBelet,RobertaMetsola
IvoBelet,DavidCasaMEP
IvoBelet,AnnieSchreijer
IvoBelet,ANiebler
IvoBelet,Andreas_Schwab
IvoBelet,axelvossmdep
IvoBelet,GrzybAndrzej
IvoBelet,walesamep
IvoBelet,SMuresan
IvoBelet,spietikainen
IvoBelet,hennavirkkunen
IvoBelet,sven_giegold
IvoBelet,JanAlbrecht
IvoBelet,Claude_Moraes
IvoBelet,SkaKeller
IvoBelet,markdemesmaeker
IvoBelet,RCorbettMEP
IvoBelet,manfredweber
IvoBelet,TonoEPP
IvoBelet,comilara
IvoBelet,SyedKamall
IvoBelet,jeroen_lenaers
IvoBelet,Esther_de_Lange
IvoBelet,guyverhofstadt
IvoBelet,tomvdkendelaere
IvoBelet,SophieintVeld
IvoBelet,lvnistelrooij
IvoBelet,WimvandeCamp
IvoBelet,kvanbrempt
IvoBelet,MaireadMcGMEP
IvoBelet,PaulRuebig
IvoBelet,EmmaMcClarkin
IvoBelet,BartStaes
SteeveBriois,angelociocca
SteeveBriois,mcboutonnetfn
SteeveBriois,laurrebega
SteeveBriois,Nigel_Farage
SteeveBriois,BriceHortefeux
SteeveBriois,lepenjm
SteeveBriois,marcozanni86
SteeveBriois,nadine__morano
SteeveBriois,EricAndrieuEU
SteeveBriois,isabel_thomaseu
SteeveBriois,PervencheBeres
SteeveBriois,JeanMarieCAVADA
SteeveBriois,VRoziere
SteeveBriois,ASanderMEP
SteeveBriois,gillespargneaux
SteeveBriois,DominiqueRiquet
SteeveBriois,TokiaSaifi
SteeveBriois,ALamassoure
SteeveBriois,AlainCadec
SteeveBriois,RenaudMuselier
SteeveBriois,robertrochefort
SteeveBriois,ArnaudDanjean
SteeveBriois,GrosseteteF
SteeveBriois,MAlliotMarie
SteeveBriois,emorinchartier
SteeveBriois,franckproust
SteeveBriois,emmanuelmaurel
SteeveBriois,edouardmartinEU
SteeveBriois,Delahaye_Europe
SteeveBriois,mauriceponga
SteeveBriois,DMartinFN
SteeveBriois,c_lechevalier14
SteeveBriois,datirachida
SteeveBriois,MarcJoulaud
SteeveBriois,JoelleMelinFN
SteeveBriois,MJRLdeGraaff
SteeveBriois,OlafStuger
SteeveBriois,MarcusPretzell
SteeveBriois,gannemans
SteeveBriois,Janice4Brexit
SteeveBriois,francejamet
SteeveBriois,younousomarjee
SteeveBriois,NicolasBay_
SteeveBriois,ph_loiseau
SteeveBriois,Gilles_Lebreton
SteeveBriois,jcolombierfn
SteeveBriois,mireilledornano
SteeveBriois,DominiqueBilde
SteeveBriois,MCArnautu
SteeveBriois,troszczynski_fn
SteeveBriois,Sylvie_Goddyn
SteeveBriois,JFJalkh
SteeveBriois,brunogollnisch
hetman_k,marekplura
hetman_k,kmujazdowski
hetman_k,Franc_Bogovic
hetman_k,elukacijewska
hetman_k,TheodorStolojan
hetman_k,ZdzKrasnodebski
hetman_k,JerzyBuzek
hetman_k,AKRajewicz
hetman_k,ZbigniewKuzmiuk
hetman_k,TomaszPoreba
hetman_k,BLiberadzki
hetman_k,lidiageringer
hetman_k,JSaryuszWolski
hetman_k,j_wisniewska
hetman_k,DJazlowiecka
hetman_k,JanOlbrycht
hetman_k,rozathun
hetman_k,J_Lewandowski
hetman_k,r_czarnecki
hetman_k,marekjurek
hetman_k,walesamep
hetman_k,bzdrojewski
hetman_k,BarbaraKudrycka
hetman_k,danutahuebner
hetman_k,MichalBoni
hetman_k,DariuszRosati
hetman_k,szejnfeld
hetman_k,manfredweber
hetman_k,GrzybAndrzej
hetman_k,CzSiekierski
walesamep,elukacijewska
walesamep,RebHarms
walesamep,caspary
walesamep,SeanKellyMEP
walesamep,BarbaraKudrycka
walesamep,CzSiekierski
walesamep,manfredweber
walesamep,AKRajewicz
walesamep,axelvossmdep
walesamep,delcastillop
walesamep,danutahuebner
walesamep,tadeuszzwiefka
walesamep,lidiageringer
walesamep,GrzybAndrzej
walesamep,DJazlowiecka
walesamep,rozathun
walesamep,JerzyBuzek
walesamep,MichalBoni
walesamep,bzdrojewski
walesamep,JanOlbrycht
walesamep,VivianeRedingEU
walesamep,DariuszRosati
SilviaCostaEU,AnnaMariaCB
SilviaCostaEU,mdlabajova
SilviaCostaEU,IzaskunBilbaoB
SilviaCostaEU,cozzolino62
SilviaCostaEU,elena_gentile
SilviaCostaEU,MassimoPaolucc6
SilviaCostaEU,comilara
SilviaCostaEU,RaffaeleFitto
SilviaCostaEU,EGardini
SilviaCostaEU,giovannilavia
SilviaCostaEU,GiorgosKyrtsos
SilviaCostaEU,LindaMcAvanMEP
SilviaCostaEU,enricogasbarra
SilviaCostaEU,IsabellaDeMonte
SilviaCostaEU,IratxeGarper
SilviaCostaEU,m_giuffrida
SilviaCostaEU,helgatruepel
SilviaCostaEU,brandobenifei
SilviaCostaEU,GoffredoBettini
SilviaCostaEU,MarleneMizzi
SilviaCostaEU,luigi_morgano
SilviaCostaEU,DantiNicola
SilviaCostaEU,Cofferati
SilviaCostaEU,tfajon
SilviaCostaEU,mercedesbresso
SilviaCostaEU,gualtierieurope
SilviaCostaEU,ellyesse
SilviaCostaEU,Claude_Moraes
SilviaCostaEU,CaterinaChinnic
SilviaCostaEU,simonabonafe
SilviaCostaEU,toiapatrizia
SilviaCostaEU,DavidSassoli
jcolombierfn,c_lechevalier14
jcolombierfn,DMartinFN
jcolombierfn,DominiqueBilde
jcolombierfn,troszczynski_fn
jcolombierfn,ph_loiseau
jcolombierfn,JFJalkh
jcolombierfn,mireilledornano
jcolombierfn,Sylvie_Goddyn
jcolombierfn,Bernard_Monot
jcolombierfn,NicolasBay_
jcolombierfn,lepenjm
jcolombierfn,JoelleMelinFN
jcolombierfn,Gilles_Lebreton
jcolombierfn,a_chauprade
jcolombierfn,francejamet
jcolombierfn,SteeveBriois
jcolombierfn,f_philippot
jcolombierfn,MCArnautu
jcolombierfn,brunogollnisch
LiadhNiRiadaMEP,guyverhofstadt
LiadhNiRiadaMEP,LinneaEngstrom
LiadhNiRiadaMEP,sylikiotis
LiadhNiRiadaMEP,jmterricabras
LiadhNiRiadaMEP,mmatias_
LiadhNiRiadaMEP,MalinBjork_EU
LiadhNiRiadaMEP,JeanArthuis
LiadhNiRiadaMEP,LucyAndersonMEP
LiadhNiRiadaMEP,brianhayesMEP
LiadhNiRiadaMEP,lukeming
LiadhNiRiadaMEP,MarianHarkin
LiadhNiRiadaMEP,MaireadMcGMEP
LiadhNiRiadaMEP,DeirdreCluneMEP
LiadhNiRiadaMEP,NChildersMEP
LiadhNiRiadaMEP,SeanKellyMEP
LiadhNiRiadaMEP,mattcarthy
LiadhNiRiadaMEP,M_AndersonSF
LiadhNiRiadaMEP,LNBDublin
ArneLietz,sylvieguillaume
ArneLietz,a_jongerius
ArneLietz,cdallonnes
ArneLietz,EGardiazabal
ArneLietz,SergeiStanishev
ArneLietz,arndtkohn
ArneLietz,woelken
ArneLietz,EvaKaili
ArneLietz,ellyesse
ArneLietz,ClaudiaTapardel
ArneLietz,langen_werner
ArneLietz,blochbihler
ArneLietz,MarleneMizzi
ArneLietz,weidenholzer
ArneLietz,LindaMcAvanMEP
ArneLietz,EugenAFreund
ArneLietz,KatiPiri
ArneLietz,SebDance
ArneLietz,maryhoneyball
ArneLietz,GabrielePreuss
ArneLietz,schulzeeuropa
ArneLietz,UdoBullmann
ArneLietz,jo_leinen
ArneLietz,PeterSimonMEP
ArneLietz,martinawernereu
ArneLietz,ConstanzeKrehl
ArneLietz,westphalkerstin
ArneLietz,KaufmannSylvia
ArneLietz,knufleckenstein
ArneLietz,EuropaJens
ArneLietz,IsmailErtug
ArneLietz,BirgitSippelMEP
ArneLietz,UlrikeRodust
ArneLietz,berndlange
gannemans,jcolombierfn
gannemans,joerg_meuthen
gannemans,markdemesmaeker
gannemans,b_kappel
gannemans,andreelissen
gannemans,FMCastaldo
gannemans,francejamet
gannemans,c_lechevalier14
gannemans,marcozanni86
gannemans,hildevautmans
gannemans,StevensHelga
gannemans,schopflinMEP
gannemans,Sylvie_Goddyn
gannemans,NicolasBay_
gannemans,MarcusPretzell
gannemans,SteeveBriois
gannemans,Esther_de_Lange
gannemans,DMartinFN
gannemans,IvoBelet
gannemans,troszczynski_fn
gannemans,blochbihler
gannemans,BerndLucke
gannemans,Janice4Brexit
gannemans,OlafStuger
gannemans,DominiqueBilde
gannemans,danutahuebner
gannemans,JFJalkh
gannemans,anneleen_vb
gannemans,SyedKamall
gannemans,JLSchaffhauser
gannemans,brunogollnisch
gannemans,Gilles_Lebreton
gannemans,ph_loiseau
gannemans,DianeDoddsMEP
gannemans,MCArnautu
gannemans,SanderLoones
gannemans,datirachida
gannemans,tomvdkendelaere
gannemans,BartStaes
gannemans,vilimsky
gannemans,DanielJHannan
gannemans,guyverhofstadt
gannemans,Nigel_Farage
rohde_jens,gillespargneaux
rohde_jens,jhuitema
rohde_jens,MEPDohrmann
rohde_jens,federley
rohde_jens,SophieintVeld
rohde_jens,catherinemep
rohde_jens,andersvistisen
rohde_jens,rinakari
rohde_jens,guyverhofstadt
rohde_jens,MrMesserschmidt
rohde_jens,OleEU
rohde_jens,mortenhelveg
rohde_jens,loekkegaard_mep
rohde_jens,JeppeKofod
rohde_jens,MargreteAuken
rohde_jens,SchaldemoseMEP
rohde_jens,BendtEU
DeirdreCluneMEP,CharlesTannock
DeirdreCluneMEP,mdlabajova
DeirdreCluneMEP,msojdrova
DeirdreCluneMEP,guyverhofstadt
DeirdreCluneMEP,Esther_de_Lange
DeirdreCluneMEP,jeroen_lenaers
DeirdreCluneMEP,Antonio_Tajani
DeirdreCluneMEP,GrosseteteF
DeirdreCluneMEP,emorinchartier
DeirdreCluneMEP,milanzver
DeirdreCluneMEP,PatricijaSulin
DeirdreCluneMEP,JNicholsonMEP
DeirdreCluneMEP,manfredweber
DeirdreCluneMEP,telicka
DeirdreCluneMEP,JillEvansMEP
DeirdreCluneMEP,hennavirkkunen
DeirdreCluneMEP,tomvdkendelaere
DeirdreCluneMEP,MepMCramer
DeirdreCluneMEP,WimvandeCamp
DeirdreCluneMEP,RobertaMetsola
DeirdreCluneMEP,DavidCasaMEP
DeirdreCluneMEP,VivianeRedingEU
DeirdreCluneMEP,SMuresan
DeirdreCluneMEP,MaireadMcGMEP
DeirdreCluneMEP,SeanKellyMEP
DeirdreCluneMEP,brianhayesMEP
NathanGillMEP,GerardBattenMEP
NathanGillMEP,jane_collinsmep
NathanGillMEP,Ashleyfoxmep
NathanGillMEP,SyedKamall
NathanGillMEP,julia_reid
NathanGillMEP,JamesJimCarver
NathanGillMEP,DanielJHannan
NathanGillMEP,Tim_Aker
NathanGillMEP,Billukip
NathanGillMEP,JSeymourUKIP
NathanGillMEP,JonathanArnott
NathanGillMEP,oflynnmep
NathanGillMEP,DavidCoburnUKip
NathanGillMEP,steven_woolfe
NathanGillMEP,MargotLJParker
NathanGillMEP,Nigel_Farage
SHKMEP,ilhankyuchyuk
SHKMEP,caspary
SHKMEP,SMuresan
SHKMEP,NirjDeva
SHKMEP,jproctermep
SHKMEP,danutahuebner
SHKMEP,MaireadMcGMEP
SHKMEP,markdemesmaeker
SHKMEP,anneleen_vb
SHKMEP,ddalton40
SHKMEP,EvaKaili
SHKMEP,Pabriks
SHKMEP,SebDance
SHKMEP,RobertaMetsola
